state_abbr,org,scope,focus,url,notes
OH,Ohio Environmental Council,state,"environmental advocacy, water + energy",https://theoec.org,Statewide; can pressure ODNR + legislature.
OH,FreshWater Accountability Project,regional,"oil & gas waste, water quality",https://www.fwap.org,Appalachian-OH focused.
PA,PennEnvironment,state,"clean air/water advocacy",https://pennenvironment.org,Statewide advocacy.
PA,Mountain Watershed Association,regional,"abandoned mine + oil/gas, watershed",https://mtwatershed.com,SW PA watershed group.
PA,Clean Air Council,state,"air quality, methane",https://cleanair.org,Mid-Atlantic; methane focus.
WV,WV Rivers Coalition,state,"water quality, oil & gas",https://wvrivers.org,Statewide rivers/water.
WV,Ohio Valley Environmental Coalition (OVEC),regional,"environmental justice, extraction",https://ohvec.org,Long-standing WV EJ group.
KY,Kentucky Resources Council,state,"environmental law + advocacy",https://www.kyrc.org,Statewide; policy + legal.
KY,Appalachian Citizens' Law Center,regional,"coal + extraction justice, legal aid",https://www.aclc.org,Eastern KY / central Appalachia.
ALL,Appalachian Voices,regional,"regional environmental advocacy",https://appvoices.org,Multi-state Appalachia.
ALL,FracTracker Alliance,regional,"oil & gas data + mapping",https://www.fractracker.org,Data/mapping ally across states.
ALL,Earthworks,national,"oil & gas accountability, methane",https://earthworks.org,National; methane/orphan-well work.
